No,PO number,Po Date,PO Name,Supplier,Total,Cur.
535,RFPO-6705-V40071-2,16 Jun 2025,PO for Scaffolding Accessories,"Rapid Scaffolding (Engineering) Co., Ltd",22637.69,USD
536,RFPO-6705-V40095-1,16 Jun 2025,PO for LSA-Interlocking Vinyl Tiles with Transition Strips,Carpet Masters & The Shutter Factory,56212.28,USD
537,RFPO-1569-14326-1,16 Jun 2025,PO for Dubai Civil Defence (DCD) submission drawing preparation and approval service charge.,Keen Eye Technical Services LLC,3500,AED
538,RFPO-5193-V40014-1,13 Jun 2025,PO for DOOR HARDWARE SET   AL KHARJ - REF - NAFF/EXP/ADD/151020,NATIONAL FIRE FIGHTING MANUFACTURING FZCO,898,USD
539,RFPO-7139-E6805-2,12 Jun 2025,"PO for Panel Boards, Distribution Boards and Main DB-LSA Facility",AL GHANDI SWITCHGEARS INDUSTRY,249546.43,AED
540,RFPO-5532-V40073-1,12 Jun 2025,"PO for IT Materials (DIEGO GARCIA PROJECT, TASK NO.-Mancamp) - Q-X3550-R1",Extol International FZC,87342.65,AED
541,RFPO-7039-V40019A-1,12 Jun 2025,PO for Cable Rack,"Underground Devices, Inc.",386978,USD
542,RFPO-5532-V40075-1,12 Jun 2025,PO for Used 40-Foot SOC Containers HC,Leeds Services Co. Pte Ltd.,49950,USD
543,RFPO-6646-S9100A-1,12 Jun 2025,PO for Electrical works,"Carswell Brothers Services, INC.",18532,USD
544,RFPO-6705-E6812-1,12 Jun 2025,PO for LSA-Hilti Additional Items,TIC LIGHT ELECTRICAL CORP,6069.8,USD
545,RFPO-5829-E6819-1,12 Jun 2025,PO for AL FIKREE - PROCUREMENT SUPPORT -  Explosion Proof Wiring Accessories,Excel Electricity Transmission Apparatus Installation LLC,302940,AED
546,RFPO-5829-E6820-1,12 Jun 2025,PO for AL FIKREE PROCUREMENT SUPPORT - Conduit Sealing Fittings and Sealing Compounds - Ref.:E2025000425,Excel Electricity Transmission Apparatus Installation LLC,9695.76,AED
547,RFPO-6705-V40092-1,11 Jun 2025,PO for WASH SAND WITH SLING BAG,"Pacific International, Inc",5316,USD
548,RFPO-7414-P4800-2,11 Jun 2025,PO for Personal Protective Equipment (PPE) for projects in Lebanon,FARNAS GENERAL TRADING LLC,2773,AED
549,RFPO-6705-V40093-1,11 Jun 2025,PO for ASTM testing for CMU masonry blocks & soil testing for Batch Plant,"Geo-Engineering & Testing, Inc",2890.16,USD
550,RFPO-7139-V4352-1,11 Jun 2025,PO for Appliances for Living Units ,"Onmuse ( Suzhou ) Office Furniture Co.,Ltd",42500,USD
551,RFPO-5532-V40074-1,11 Jun 2025,"PO for Drain Pipes (DIEGO GARCIA PROJECT, TASK NO.-Mancamp) - QT-4020326 REV-02",CRESCO MIDDLE EAST TRADING L.L.C,13118.5,AED
552,RFPO-6705-V40091-1,10 Jun 2025,"PO for PRESHIPMENT INSPECTION AS PER LIST PROVIDED - MARSHALL ISLANDS HEAVY MACHINES AND EQUIPMENTS WITH SPARE PARTS - -JFV640506, JFV640534, JFV640583, JFV569388, JFV640583",V-Trust Inspection Service Co. Ltd.,1608,USD
553,RFPO-7139-M4005-2,10 Jun 2025,PO for TRAILER GVWR 12000 - FAW-6K-20D -,"Kaufman Trailers, LLC",6720,USD
554,RFPO-7139-E6801A-1,10 Jun 2025,PO for ATCT COSA Electrical,TIC LIGHT ELECTRICAL CORP,69268.44,USD
555,RFPO-1569-O94-1,10 Jun 2025,"PO for Microsoft 365 GCC G5 (Governmental Community Cloud Pricing) (Invoices 111336, 110731, and 109824)",Managed Solution LLC,12505.07,USD
556,RFPO-6705-V40076-2,10 Jun 2025,PO for HDPE Corrugated Pipe and Fittings,HOLBROOK PIPE SUPPLY INC.,20888.98,USD
557,RFPO-7139-V40022-1,10 Jun 2025,PO for EPS39 GEOFOAM,Dateline Exports Inc.,3603.6,USD
558,RFPO-7139-V40022-2,10 Jun 2025,PO for EPS39 GEOFOAM,Dateline Exports Inc.,3694.51,USD
559,RFPO-1005-M7109-1,09 Jun 2025,PO for CLIN 0001 - FCX Solid State Frequency Converter.,OILTRAK SERVICES LLC,1445527.94,USD
560,RFPO-6542-V40036-2,04 Jun 2025,PO for Roofing Materials (Non Hazardous Items),HEELY-BROWN COMPANY,17360.66,USD
561,RFPO-7039-V40017-1,04 Jun 2025,PO for Anchor bolts and Plumbing support,Isam Kabbani Trading LLC,8622.58,AED
562,RFPO-5532-V40072-1,04 Jun 2025,PO for EXHAUST FAN  HS CODE:  8414609090,"ShanDong JinDun Energy Conservation&Environmental Protection Equipment Co., Ltd.",2838,USD
563,RFPO-7039-V40018-1,04 Jun 2025,PO for PULLING IRON ,Crossweld Metal Trading Co.LLC,13710.08,USD
564,RFPO-6705-V40090-1,04 Jun 2025,PO for COMMON NAIL,Tsang Brothers Corporation,360,USD
565,RFPO-6705-V40089-1,04 Jun 2025,PO for Spray Paint,HOME DEPOT USA,399.9,USD
566,RFPO-7139-E6805-1,04 Jun 2025,"PO for Panel Boards, Distribution Boards and Main DB-LSA Facility ",AL GHANDI SWITCHGEARS INDUSTRY,245296.43,AED
567,RFPO-7139-E6804-1,04 Jun 2025,PO for Panel Distribution Board -COSA Facility ,AL GHANDI SWITCHGEARS INDUSTRY,15520.39,AED
568,RFPO-7139-M4006-1,04 Jun 2025,PO for AIR COMPRESSOR,"HANGZHOU CAIFULL PRECISION MACHINERY CO., LTD",15714,USD
569,RFPO-7139-S9031-1,04 Jun 2025,PO for Heavy Duty Canopy with heavy-duty rope and U bolt,"Foshan LiTong FanPeng Co., LTD",2522.14,USD
570,RFPO-7414-P4800-1,04 Jun 2025,PO for Personal Protective Equipment (PPE) for projects in Lebanon,FARNAS GENERAL TRADING LLC,3123,AED
571,RFPO-5829-V40031-1,04 Jun 2025,PO for Candor Procurement Support - SUPPLY OF DOWEL BARS,Unitech Di Pipes & Fittings Mfg. LLC,36886.1,AED
572,RFPO-7039-V40019-1,04 Jun 2025,PO for Cable Rack,"Underground Devices, Inc.",305360,USD
573,RFPO-5829-R1509-1,04 Jun 2025,PO for Nissan Sunny 1.5L SV SY2 2023 ExFleet - 3 months rental,Diamondlease LLC,4965,AED
574,RFPO-5829-E6818A-1,03 Jun 2025,PO for LV Cables,Dubai Cable Company (Private) Limited,3970108.389,AED
575,RFPO-7139-M4005-1,03 Jun 2025,PO for TRAILER GVWR 12000 - FAW-6K-20D -,"Kaufman Trailers, LLC",5720,USD
576,RFPO-6746-M4106-1,03 Jun 2025,PO for Additional PVC Fittings,Harrington Industrial Plastics LLC,3147.84,USD
577,RFPO-7139-E6801-1,03 Jun 2025,PO for ATCT COSA Electrical,TIC LIGHT ELECTRICAL CORP,66586.69,USD
578,RFPO-7139-E6803-1,03 Jun 2025,PO for Live End Seal - TE HVES-1521D,WESCO Distribution Inc,3136.995,USD
579,RFPO-7039-V40011-2,02 Jun 2025,PO for Fire Extinguishers,Leeds Services Co. Pte Ltd.,2560,USD
580,RFPO-6852-V40025-1,02 Jun 2025,PO for Fuel Impermeable Liner,Arabian Environmental Construction Company (AEC),28857,USD
581,RFPO-6852-V40026-1,02 Jun 2025,PO for Tech Rep & Site Supervisor for installation support,Arabian Environmental Construction Company (AEC),53000,USD
582,RFPO-5532-V40066-1,29 May 2025,PO for Aggregates and Cement - June Vessel,Leeds Services Co. Pte Ltd.,154050,USD
583,RFPO-5532-V40071-1,29 May 2025,PO for Additional laboratory tools (for Concrete Laboratory),Humboldt Mfg Co,60581.75,USD
584,RFPO-5695-V40017-1,29 May 2025,PO for Hardware,POWERFIT INDUSTRIAL PTE LTD,20876.06,SGD
585,RFPO-7039-E6806-1,29 May 2025,PO for Grounding and Pullrope,WESCO Distribution Inc,98527.97,USD
586,RFPO-6705-V40087-1,29 May 2025,PO for  COSA roofing materials,HOME DEPOT USA,1378.1,USD
587,RFPO-6705-V40086-1,29 May 2025,PO for RSC Conduits and Fittings ,Kelly & Hayes Electrical Industrial & Plumbing Supplies,18825.96,USD
588,RFPO-6705-V40088-1,29 May 2025,PO for PVC DWV pipe and Fittings for Sanitary & Storm Water under SOG,American International Supply Inc.,22460.08,USD
589,RFPO-7208-M4102-1,29 May 2025,PO for Ball Valve ,Morex Inc.,1012.36,USD
590,RFPO-7039-V40016-1,28 May 2025,PO for Anchor bolts,Fastener Point LLC,5446.2,AED
591,RFPO-7039-E6805-1,27 May 2025,PO for Spacers(Telecom),Bahra Advanced Cable Manufacture Co. Ltd.,139825,SAR
592,RFPO-5532-V40067A-1,26 May 2025,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,6776.7955,USD
593,RFPO-5581-A5202-1,26 May 2025,PO for Non tempered Glass,Lakshmi Metal Tech LLC,2300,AED
594,RFPO-7044-E6800-1,26 May 2025,PO for Panel Board,Benfield Electric International Ltd.,10468,USD
595,RFPO-7208-V40009-1,26 May 2025,PO for Ground  Items,Extol International FZC,1044,AED
596,RFPO-7208-V40010-1,26 May 2025,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,46743.76,USD
597,RFPO-1569-14069-2,24 May 2025,"PO for FITOUT -  MVL OFFICE 1804, 1805, 1806 and 1807",Keen Eye Technical Services LLC,113265,AED
598,RFPO-7039-V40013-2,22 May 2025,PO for Pad Mounted Transformer,Larson Electronics LLC,96651.74,USD
599,RFPO-6705-V40084-1,22 May 2025,Harger Ground Rod and Accessories ,Kelly & Hayes Electrical Industrial & Plumbing Supplies,2236.48,USD
600,RFPO-7139-V40020-1,22 May 2025,PO for Office Furniture - ATCT LSA,Al Seham Furniture LLC,72692,AED
601,RFPO-7073-V40007-1,22 May 2025,PO for Bolts and Nuts,Fastener Point LLC,9249.44,AED
602,RFPO-7139-V40021-1,22 May 2025,3.5GAL TRI-POXY COATED STEEL CONCRETE SPRAYER,"White Cap Supply Holdings, LLC",414.24,USD
603,RFPO-7039-V40015-1,22 May 2025,PO for Concrete Mix - Design & Testing,Element Construction Testing (S) Pte. Ltd.,76825,SGD
604,RFPO-5695-V40016-1,22 May 2025,PO for Pulley for Wiresaw Machine,"Zhengzhou Yugong Construction Machinery Co., Ltd.",973,USD
605,RFPO-6705-V40085-1,22 May 2025,PO for Gray Iron Cover and Frame ,INDIGO PIPING SYSTEMS,1218.44,USD
606,RFPO-7208-M4101-1,21 May 2025,PO for PVC pipes and fittings,Harrington Industrial Plastics LLC,787.2,USD
607,RFPO-7039-E6802B-1,21 May 2025,PO for MV CABLES,Oman Cables Industry (SAOG),1781949.568,USD
608,RFPO-7039-V40014-1,21 May 2025,PO for PVC Pipes & Fittings - for Telecom,National Plastic & Building Material Industries LLC,537139,AED
609,RFPO-7039-E6804-1,21 May 2025,PO for Conduit Sealant and Tool,WESCO Distribution Inc,23794.81,USD
610,RFPO-6718-V40026-1,21 May 2025,PO for Primer for external use on CS pipes,The Sherwin-Williams Company,1009.52,USD
611,RFPO-6705-V40083-1,20 May 2025,PO for Vinyl Tile for Medical Clinic Concrete Laboratory,Builders Choice,5613,USD
612,RFPO-6718-S9104-1,20 May 2025,PO for Concrete Supply & Material Testing,BLACK CONSTRUCTION CORPORATION,126766.3,USD
613,RFPO-7073-V40006-1,19 May 2025,PO for Exterior Metal Ladders,SkyHigh Ladders & Guardrails Inc.,22061,USD
614,RFPO-7208-V40008-1,19 May 2025,PO for Sika Anchor fix 3001,Leeds Services Co. Pte Ltd.,4175,USD
615,RFPO-7098-E6802-1,19 May 2025,PO for Taxiway Lighting ,"Cooper Crouse-Hinds, LLC",141409.57,USD
616,RFPO-6705-E6806-2,15 May 2025,PO for LSA-Electrical Items,WESCO Distribution Inc,194759.24,USD
617,RFPO-7039-V40010-1,15 May 2025,PO for Manhole Frames and Covers,Unitech Di Pipes & Fittings Mfg. LLC,65800.32,USD
618,RFPO-7139-V40019-1,14 May 2025,PO for Epoxy Coated Rebar,Nucor Rebar Fabrication,143074,USD
619,RFPO-6705-V40082-1,14 May 2025,MarMac Butyl Sealant,Dateline Exports Inc.,703.12,USD
620,RFPO-7139-V40018-1,14 May 2025,PO for Stego Wrap,"STEGO INDUSTRIES, LLC",8640,USD
621,RFPO-6705-V40080-1,14 May 2025,PO for W R MEADOWS EXPANSION JOINT,Dateline Exports Inc.,11924.25,USD
622,RFPO-6542-V40038-1,14 May 2025,PO for Roofing Materials (Hazardous),HEELY-BROWN COMPANY,13660.62,USD
623,RFPO-6705-V40081-1,14 May 2025,PO for 1585-01 Non-Shrink Grout ,The Quikrete Companies,787.88,USD
624,RFPO-5532-V40065-1,14 May 2025,PO for SS Drains,Leeds Services Co. Pte Ltd.,485,USD
625,RFPO-6705-E6811-1,13 May 2025,PO for LSA-Electrical Additional Items,TIC LIGHT ELECTRICAL CORP,50693.25,USD
626,RFPO-6705-V40079-1,13 May 2025,Core fill Grout,The Quikrete Companies,71765.9,USD
627,RFPO-6841-V40017-1,12 May 2025,PO for Conduit & coupler,AL BAHRI AND AL MAZROEY TRADING COMPANY - L.L.C,23846.08,AED
628,RFPO-6705-E6808B-1,12 May 2025,"PO for EMT Conduits & Fittings, Wires, tools etc. - COSA",TIC LIGHT ELECTRICAL CORP,63913.311,USD
629,RFPO-6705-V40076-1,12 May 2025,PO for HDPE Corrugated Pipe and Fittings ,HOLBROOK PIPE SUPPLY INC.,20770.5396,USD
630,RFPO-7073-V40005-1,12 May 2025,PO for Guardrail System,SkyHigh Ladders & Guardrails Inc.,21065,USD
631,RFPO-7208-V40007-1,12 May 2025,PO for Conduit Supports (fort Electrical),Matco Industries LLC,64612,AED
632,RFPO-6705-V40078-1,12 May 2025,NEMA-4X Junction Box and Warning Tape,Kelly & Hayes Electrical Industrial & Plumbing Supplies,2146.25,USD
633,RFPO-6746-V40024-2,09 May 2025,PO for Backer Rods,Leeds Services Co. Pte Ltd.,655,USD
634,RFPO-6542-V40035-1,09 May 2025,PO for Greenheck Digital wall timer switch.,INTEGRATED CONTRACTING SUPPLIERS,345,USD
635,RFPO-7044-V40001-1,09 May 2025,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,1226.82,USD
636,RFPO-7139-M4004-1,08 May 2025,PO for ATCT -Concrete Buckets for Crane,Bigfoot Crane Company USA Inc,15820.02,USD
637,RFPO-6705-V40075-1,08 May 2025,"PO for Admixtures, Aggregates & Cements ",SMITHBRIDGE GUAM,375468.128,USD
638,RFPO-6705-E6806-1,08 May 2025,PO for LSA-Electrical Items,WESCO Distribution Inc,194756.58,USD
639,RFPO-7139-V40017-1,08 May 2025,PO for Traffic Sign Boards,Dateline Exports Inc.,5987.65,USD
640,RFPO-7039-V40008-1,08 May 2025,PO for PVC Pipes & Fittings (2nd Lot),National Plastic & Building Material Industries LLC,939350.29,AED
641,RFPO-6746-V40025-1,08 May 2025,PO for Plumbing Fittings,Puget Sound Pipe & Supply,576.99,USD
642,RFPO-6705-V40073-1,07 May 2025,PO for COSA Electrical PVC mouldings,HOME DEPOT USA,2344.44,USD
643,RFPO-6705-V40074A-1,07 May 2025,PO for COSA-Concrete Lab materials,HOME DEPOT USA,25042.76,USD
644,RFPO-6705-V40066A-1,07 May 2025,"PO for CMU Blocks, Mortar & Admixture for Mortar","Angelus Block CO.,INC.",130616.997,USD
645,RFPO-6746-V40023-1,07 May 2025,PO for Joint Sealants and Primer,"White Cap Supply Holdings, LLC",3479.49,USD
646,RFPO-6705-E6808A-1,06 May 2025,"PO for EMT Conduits & Fittings, Wires, tools etc. - COSA",TIC LIGHT ELECTRICAL CORP,70464.411,USD
647,RFPO-6705-E6810-1,06 May 2025,"PO for COSA-PVC Schd. 80 , Fittings, Consumables & Tools",TIC LIGHT ELECTRICAL CORP,15187.46,USD
648,RFPO-7139-V40016-1,06 May 2025,"	Preparation of Detailed shop drawing along with BBS ",Nucor Rebar Fabrication,30935,USD
649,RFPO-6705-V40072-1,05 May 2025,PO for ELEC PULLING TOOLS,MONJE,8457.38,USD
650,RFPO-7139-V40015-1,05 May 2025,PO for ATCT-Steel Plates ,Tsang Brothers Corporation,5290,USD
651,RFPO-7212-V40001-1,05 May 2025,PO for Exhaust Fans,INTEGRATED CONTRACTING SUPPLIERS,20761.48,USD
652,RFPO-6705-E6809-1,05 May 2025,PO for Fireproof Tape and Pull Line,TIC LIGHT ELECTRICAL CORP,8893.7,USD
653,RFPO-7039-E6802A-1,05 May 2025,PO for MV CABLES,Oman Cables Industry (SAOG),1963585.76,USD
654,RFPO-7027-V40008-1,05 May 2025,PO for Hangers & Supports (for Electrical),Isam Kabbani Trading LLC,48770.7,AED
655,RFPO-7098-E6801-1,02 May 2025,PO for Conduits and Grounding,WESCO Distribution Inc,12291.36,USD
656,RFPO-7098-E6800-1,01 May 2025,PO for Cables,Oman Cables Industry (SAOG),6120.72,USD
657,RFPO-5532-V40064-1,01 May 2025,PO for BUSHING ITCC RB1075,Extol International FZC,222,AED
658,RFPO-6746-E6801-1,01 May 2025,PO for LB fitting,Benfield Electric International Ltd.,507.8,USD
659,RFPO-7039-S9100-1,01 May 2025,PO for Third Party Inspection of Galvanized rebar,TUV SUD MIDDLE EAST LLC,140,USD
660,RFPO-1005-S9107-1,01 May 2025,PO for Third Party Inspection of Epoxy rebar,TUV SUD MIDDLE EAST LLC,140,USD
661,RFPO-1569-O93-1,01 May 2025,PO for Office 1803 (operational):Electrical and Data points: 12 Removing current all electrical data points Re-termination of power points and data points Fixing electrical & data points under thetabl,Kyoto Technologies,60000,AED
662,RFPO-7073-V40004-1,01 May 2025,PO for Level Sight Indicator,FILPRO SENSORS PVT.LTD,3159,USD
663,RFPO-7039-E6803-1,01 May 2025,PO for Pad Mounted Switchgear,Eaton FZE,2995518,AED
664,RFPO-5829-E6818-1,30 Apr 2025,PO for LV Cables,Dubai Cable Company (Private) Limited,3844669.373,AED
665,RFPO-7139-V40014-1,29 Apr 2025,PO for Hilti Tools & Accessories,TOOLS PLUS,12264.88,USD
666,RFPO-5532-M4032-1,29 Apr 2025,PO for Leg Cylinder Seal. PART # 860568548 for XCMG Truck Mounted Crane.,Evangel International Machinery Ltd.,325,USD
667,RFPO-6705-V40071-1,29 Apr 2025,PO for Scaffolding Accessories ,"Rapid Scaffolding (Engineering) Co., Ltd",22637.69,USD
668,RFPO-1569-V4268-1,28 Apr 2025,PO for SUPPLY AND INSTALLATION OF OFFICE FURNITURES 1804 1805 and 1807,BLUE CROWN FURNITURE (LLC),128000,AED
669,RFPO-1569-V4269-1,28 Apr 2025,PO for SUPPLY AND INSTALLATION 1804-1805 LOUNGE AREA,BLUE CROWN FURNITURE (LLC),26515,AED
670,RFPO-7073-V40003-1,28 Apr 2025,PO for Screen Mesh,"Scott & From Co., Inc.",266,USD
671,RFPO-7208-V40005-1,28 Apr 2025,PO for GI WELDED MESH,Crossweld Metal Trading Co.LLC,1818,AED
672,RFPO-6705-M4017-1,28 Apr 2025,PO for Concrete-Grout pump with Accessories ,"Zhengzhou Hengyou Machinery Manufacturing Co.,Ltd",13238,USD
673,RFPO-1005-V4490-2,28 Apr 2025,PO for Containers,FOSHAN SOEASY MODULAR HOUSING CO LTD,67450,USD
674,RFPO-6952-V40020-1,28 Apr 2025,PO for Hangers and Supports,Extol International FZC,14672,AED
675,RFPO-7044-V40000-1,28 Apr 2025,PO for Hangers and Support,Kelly & Hayes Electrical Industrial & Plumbing Supplies,1668.68,USD
676,RFPO-7208-V40006-1,28 Apr 2025,PO for WIRE MESH,Dateline Exports Inc.,565.1,USD
677,RFPO-6841-V40016-1,25 Apr 2025,PO for Conduit Supports (for Electrical),Matco Industries LLC,21280,AED
678,RFPO-1569-O91-1,25 Apr 2025,PO for ZIA Transformation Edition SKU - ZIATFORMEDITION,Raqmiyat L.L.C.,30339.73,USD
679,RFPO-6705-V40066-1,24 Apr 2025,"PO for CMU Blocks, Mortar & Admixture for Mortar ","Angelus Block CO.,INC.",120136.227,USD
680,RFPO-6705-V40069-1,24 Apr 2025,PO for Chain Link Fence ,Ultimate Fence Industries,12743.64,USD
681,RFPO-6705-V40070-1,24 Apr 2025,PO for Quickrete- Cement & Sand,LOWES,3318.25,USD
682,RFPO-5503-A5202-1,24 Apr 2025,PO for FREE ISSUED -  ALUMINIUM WINDOWS W2 - AS PER APPROVED DOCUMENTS,SALZER GmbH,20896,EURO
683,RFPO-5532-V40063-1,23 Apr 2025,PO for Plug for Bushing ITCC RBI075 and Plug for Exhaust Fan  3-Pin 15A 125V Plug,Extol International FZC,2647,AED
684,RFPO-6705-V40063-3,23 Apr 2025,PO for Misc Items for LSA Medical,HOME DEPOT USA,8389.12,USD
685,RFPO-7208-V40004-1,23 Apr 2025,PO for Caulking Gun for 600ml Cartridge of Sika Anchor fix 3001,Leeds Services Co. Pte Ltd.,1911,USD
686,RFPO-6705-V40057A-2,22 Apr 2025,PO for SIMPSON HANGERS,Dateline Exports Inc.,278.07,USD
687,RFPO-1569-14069-1,22 Apr 2025,"PO for Drawing Preparation, Preliminary & Approval",Keen Eye Technical Services LLC,106000,AED
688,RFPO-6705-V40068-1,22 Apr 2025,PO for LSA-Misc Pipe Utilities,Tsang Brothers Corporation,19578.78,USD
689,RFPO-5829-V40030-1,21 Apr 2025,PO for PRECAST MANHOLE AS PER APPROVED QUOTATION CM/Q/021/0425/bp,Baniyas Concrete Products L.L.C.,118900,AED
690,RFPO-6705-V40065-1,21 Apr 2025,PO for COSA And LSA Flooring Package,Dateline Exports Inc.,52203.46,USD
691,RFPO-1569-O88-1,21 Apr 2025,PO for250 units Adv Backup Microsoft 365 Backup - 2025,RivYv Technologies,8800,USD
692,RFPO-1569-O89-1,21 Apr 2025,PO for 250 units of Acronis Cyber Protect Cloud - 2025,RivYv Technologies,6462.5,USD
693,RFPO-1569-O90-1,21 Apr 2025,PO for RiB Candy iTWO Annual Subscription - Lebanon Office,RivYv Technologies,2270,USD
694,RFPO-6705-E6807-1,21 Apr 2025,PO for Panel Boards-COSA Facility ,AL GHANDI SWITCHGEARS INDUSTRY,43285.94,AED
695,RFPO-6718-V40021-1,21 Apr 2025,"PO for SS Nut, Washer & Sheet",Fastener Point LLC,11662,AED
696,RFPO-6841-E6802-1,21 Apr 2025,PO for Connector,WESCO Distribution Inc,906.75,USD
697,RFPO-6718-V40022-1,21 Apr 2025,PO for Spectacle Blinds,APP Manufacturing,4044.03,USD
698,RFPO-6718-V40023-1,21 Apr 2025,PO for Gaskets,"Smith International Gulf Services, LLC",5850,AED
699,RFPO-6718-V40024-1,21 Apr 2025,PO for CS Pipes & Fittings,Technopro Middle East FZCO,4823.46,AED
700,RFPO-6718-V40025-1,21 Apr 2025,PO for Internal Coating of CS Pipes & fittings,Hilong Petroleum Pipe Co. LLC,1802,USD
701,RFPO-5695-E6802-1,18 Apr 2025,PO for Rebar Couplers (Additional Qty),MAX TECHNICAL ELECTRICAL TRADING LLC,155700,AED
702,RFPO-7208-V40003-1,17 Apr 2025,PO for Civil Items,"White Cap Supply Holdings, LLC",13309.4498,USD
703,RFPO-7139-V4202-1,16 Apr 2025,"PO for ATCT - ACCOMODATION UNITS, WC-SHOWER CONTAINER, AND LAUNDRY CONTAINER",Treysan Prefabricated Steel Construction Industry & Trade Corp.,672285,USD
704,RFPO-6841-V40012-2,16 Apr 2025,PO for Duct Access Doors,"DUCTMATE INDUSTRIES, INC",868.71,USD
705,RFPO-7139-O1-1,16 Apr 2025,PO for Bluebeam Core Commercial Single User Annual Subscription New license,VISUAL PRO SOLUTIONS LLC,975,AED
706,RFPO-6705-V40063-1,16 Apr 2025,PO for Misc Items for LSA Medical,HOME DEPOT USA,9617.6,USD
707,RFPO-6705-V40064-1,16 Apr 2025,PO for A615 Grade 60 Purple Epoxy - Foundation/Manhole,Nucor Rebar Fabrication,34864.33,USD
708,RFPO-7039-E6802-1,16 Apr 2025,PO for MV Cables,Oman Cables Industry (SAOG),2061332.766,USD
709,RFPO-6705-V40057A-1,16 Apr 2025,PO for GA1 2-3/4IN GUSSET ANGLE,Dateline Exports Inc.,164.43,USD
710,RFPO-5829-V40026-1,14 Apr 2025,"PO for CHW PIPES, FITTINGS, INSULATION, CONTROL VALVES, NUTS, BOLTS, GASKETS - AL FIKREE PROCUREMENT SUPPORT",GMARK MIDDLE EAST FZC,443448.36,AED
711,RFPO-6705-V40061-1,14 Apr 2025,PO for Block Saw & Saw Blade,MONJE,7641.6,USD
712,RFPO-5829-V40027-1,14 Apr 2025,PO for ADDITIONAL FIXTURE F2 LIGHTING (APRON LIGHTING) Model: 93926741,Extol International Trading LLC,10180,AED
713,RFPO-6705-V40062-1,14 Apr 2025,PO for Metal Roofing & Accessories,Tsang Brothers Corporation,29953.5,USD
714,RFPO-5581-V40013-1,10 Apr 2025,PO for Paints - for repainting of pipes,The Sherwin-Williams Company,1460.4,USD
715,RFPO-6705-V40060-1,10 Apr 2025,PO for Roofing Panel and accessories ,Tsang Brothers Corporation,36140,USD
716,RFPO-1569-R1507-1,10 Apr 2025,PO for BlacK Toner - Yield 40000,NEW SMART OFFICE AUTOMATION LLC,1150,AED
717,RFPO-7027-V40007-1,10 Apr 2025,PO for Insulated Flexible Duct,Delta Duct Airconditioning LLC,4104,AED
718,RFPO-7139-M4002-1,09 Apr 2025,PO for Customised Trash Compactor Station,"Shandong RNKJ Environmental Technology Co., Ltd",19995,USD
719,RFPO-6705-V40059-1,09 Apr 2025,PO for Vinyl and Aluminum Sign Labels,Sign King Inc,1280,USD
720,RFPO-6705-V40058-1,09 Apr 2025,PO for  WATER BASE FORM RELEASE SPECCHEM,"White Cap Supply Holdings, LLC",584.98,USD
721,RFPO-6705-V40054-1,09 Apr 2025,PO for WB CURE AND SEAL SPECCHEM(CONCRETE CURING MATERIAL),"White Cap Supply Holdings, LLC",3699.96,USD
722,RFPO-7139-V40012-1,09 Apr 2025,PO for WB CURE AND SEAL SPECCHEM(CONCRETE CURING MATERIAL),"White Cap Supply Holdings, LLC",1399.98,USD
723,RFPO-6542-V40033-1,09 Apr 2025,PO for Fire Extinguisher,NATIONAL FIRE FIGHTING MANUFACTURING FZCO,1980,AED
724,RFPO-6542-V40034A-1,09 Apr 2025,PO for Suspensions for Acoustic Ceiling Tiles,BMET Building Materials Trading LLC,3508.51,AED
725,RFPO-6952-V40018-1,09 Apr 2025,PO for Consumables,AL SUNAINA TRADING L.L.C,7829.4,AED
726,RFPO-7139-V40013-1,09 Apr 2025,PO for FORMWORK MATERIAL B-MATTE,Dateline Exports Inc.,12809.48,USD
727,RFPO-6952-V40019-1,08 Apr 2025,PO for Techrep for Installation,Big Top Manufacturing LLC,30600,USD
728,RFPO-6705-V40057-1,08 Apr 2025,PO for CS20 20GA 250FT COILED STRAP,Daltile Corporation,4026.67,USD
729,RFPO-7139-M4003-1,08 Apr 2025,PO for New Electric Club Car Transporter 4 Passenger Cart as per Approved Quotation,Electric Car SALES AND SERVICE INC.,41567.65,USD
730,RFPO-7073-V40002-1,07 Apr 2025,PO for Threaded rods,Rawlplug Middle East FZE,3990,AED
731,RFPO-6705-V40056B-1,07 Apr 2025,PO for Construction Items,Tsang Brothers Corporation,1460,USD
732,RFPO-5532-V40062-1,04 Apr 2025,PO for ELECTRICAL MATERIALS - B - MANCAMP 2,Extol International FZC,50647.95,AED
733,RFPO-7139-V40010A-1,04 Apr 2025,PO for TRIPOD AND ACCESSORIES ,MONJE,11023.22,USD
734,RFPO-7139-V4200-1,04 Apr 2025,PO for SUPPLY OF ACCOMODATION UNIT FOR LSA ATCT - AS PER APPROVED DOCUMENTS,Treysan Prefabricated Steel Construction Industry & Trade Corp.,690000,USD
735,RFPO-7139-V4201-1,04 Apr 2025,PO for SUPPLY OF OFFICE BUILDING CONTAINER AND STORAGE CONTAINER,Treysan Prefabricated Steel Construction Industry & Trade Corp.,154367,USD
