RowNo,PONumber,PODate,POName,Supplier,Entity,Project,Material,Discipline,Value,Currency,Year,Month,SourceTab,OriginalSource
2131,RFPO-2797-E6806-1,29 Jun 2021,PO for H32D2M (SAME SUPPLIED BEFORE),KOH BARAKAT LTD,MACRO,"W5J9JE18C0008 AFGHANISTAN NATIONAL POLICE  (ANP) WOMEN’S PARTICIPATION PROGRAM,  POLICE TOWN PHASE II",Subcontract,Services,26846.4,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2132,RFPO-3550-E6815-1,28 Jun 2021,PO for 9U Rack,ALERT TECHNOLOGY PVT LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,254255.0,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2133,RFPO-3550-V4381-1,23 Jun 2021,PO for Expansion Joint - Supplying and fixing of wall to wall expansion joint for external part of Aluminium (2mm thick) for joint width 150mm. material 6063-T5 grade alumunium. anodised finish with w,Venus Enterprises & Water Proofing Pvt. Ltd.,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,964653.88,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2134,RFPO-1192-L4002-1,22 Jun 2021,"PO for Tracking Hardware Device (FMM130 – 4G) Installation by our Technicians at the Client’s premise, Software Configurations & Complete Training. (Country of Origin: Europe)",Synosys Technologies LLC,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,168.15,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2135,RFPO-1192-V4315-1,22 Jun 2021,PO for SLAB WITHOUT FACING (SXXX) DENSITY: 120KG/M3 THICKNESS: 50MM SIZE: 1.2MTR*0.6 MTR 360 SQM,FUJAIRAH ROCKWOOL FACTORY,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,2412.99,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2136,RFPO-3742-M4102-1,20 Jun 2021,PO for Safety stud anchor HST3 M20x170  -/30,Hilti Kuwait Gen. Trd. Co.,"MVL USA, INC","(KUW-132) ORD-3742 W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility, Camp Arifjan, Kuwait",Subcontract,Services,1602.36,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2137,RFPO-3550-M4111-1,17 Jun 2021,PO for CI Manhole Cover,SIMTEX INDUSTRIES PRIVATE LIMITED,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,3856.14,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2138,RFPO-3550-M4110-1,16 Jun 2021,PO for Medical Equipments,AARATI MEDITECH,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,157000.0,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2139,RFPO-1192-V4429-1,16 Jun 2021,PO for Adhesion-in-Peel (after water immersion (price per test),Al Futtaim Element MaterialsTechnology Dubai L.L.C,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,1769.95,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2140,RFPO-1192-V4429A-1,16 Jun 2021,PO for Adhesion-in-Peel (after water immersion (price per test),Al Futtaim Element MaterialsTechnology Dubai L.L.C,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,3539.9,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2141,RFPO-3734-E6800A-1,15 Jun 2021,PO for Daltile Infinite Mirage TM Metal & Stone 1 INCH x  4 INCH Linear Hex Mosaic 12,TIC LIGHT ELECTRICAL CORP,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,5218.85,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2142,RFPO-3550-M4109-1,07 Jun 2021,PO for Crompton Cvmo2-15c 2hp Vertical Multistage Pump,Industrial Trade World,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,3857.74,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2143,RFPO-3550-V4379A-1,06 Jun 2021,PO for Inslim C8905 (S Trap-290) One pcs Commode,BATH N ROOM TRADE CONCERN PVT LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,366793.0,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2144,RFPO-3550-V4379-1,02 Jun 2021,PO for Examination Table with mattress,ALLIANCE IMPEX,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,16566.0,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2145,RFPO-3550-E6813A-1,01 Jun 2021,"PO for Earthplus Advanced Earthing Electrode: 3 Meters  Length, 50 mm Dia Pure Copper Pipe,  Completely Filled With Super Conductive  Crystalline Compound, Sealed at Both Ends  Fitted With 40x6x3000 m",Go Solar Energy Solutions Pvt Ltd,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,3915.0,USD,2021,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2146,RFPO-3550-E6813-1,27 May 2021,"PO for Earthplus Advanced Earthing Electrode: 3 Meters  Length, 50 mm Dia Pure Copper Pipe,  Completely Filled With Super Conductive  Crystalline Compound, Sealed at Both Ends  Fitted With 40x6x3000 m",Go Solar Energy Solutions Pvt Ltd,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,4619.7,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2147,RFPO-3550-E6814-1,27 May 2021,PO for CORAL SURFACE LIGHT (R) 12 W,Venus Construction Solutions,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,669.6,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2148,RFPO-3550-V4377-1,27 May 2021,PO for WEIGHING MACHINE PHYSICAL DOUBLE PAN,Venus Construction Solutions,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,545.4,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2149,RFPO-3550-V4378-1,27 May 2021,PO for Ceramic Tiles,BATH N ROOM TRADE CONCERN PVT LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,20808.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2150,RFPO-3550-M4108-1,24 May 2021,PO for ESE LIGHTNING AIR TERMINAL Supply of Early Streamer Emission (ESE) type Lightning Protection complete with the Lightning Air Terminal – Configured as a Spheroid which is comprised of separate,NCR Enterprises,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,2361.6,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2151,RFPO-3550-V4376A-1,23 May 2021,PO for CTG/NST/ FETAL MONITOR AS PER APPROVED PRODUCT SUBMITTAL.,NUCLEUS MEDITECH COMPANY,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1362.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2152,RFPO-3550-C6052-1,20 May 2021,PO for EPITILE GROUT EPOXY  (IVORY COLOUR),Engineer Plus Construction Chemicals,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,847274.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2153,RFPO-3550-A5304-1,19 May 2021,PO for Tractor Emulsion - 20 Itr,SAMITA ENTERPRISES,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,144300.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2154,RFPO-3734-V4353-1,19 May 2021,PO for INTERIOR SIGNAGE AS PER QUOTATION REF. TMAC/QT-232 REV. 01/2021,THE MODERN ADVERTISING CENTER,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,8545.92,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2155,RFPO-3550-M4003-1,18 May 2021,"PO for Blood Storage Cabinets +4 DegreeC temperature, 4 drawers, Capacity - 120 liters, LED Display, Inner SS,  with 7 days circular chart recorder, Blood Bags - 56 / 72 of 450 ml / 350 ml (approx.",REMI ELEKTROTECHNIK LIMITED,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1346.4,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2156,RFPO-3742-V4256A-2,18 May 2021,"PO for Design, Fabrication, Supply and Delivery of Metal Wall and Roof Cladding Works",Staines International Group General Trading and Contracting Co. WLL,"MVL USA, INC","(KUW-132) ORD-3742 W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility, Camp Arifjan, Kuwait",Subcontract,Services,659562.81,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2157,RFPO-3550-M4001-1,17 May 2021,"PO for Stretcher Trolley (2 Section) with Fixed Mattress & Safety Belts (2 pcs) M.S. Frame, M.S. Railing, M.S. Tray, M.S. Cylinder Cage, S.S. I.V. Rod (HSN : 94029090)",UNITED MEDI-EQUIP PRIVATE LIMITED,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1833.3,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2158,RFPO-3550-V4376-1,17 May 2021,PO for Carona Bainco (Grey),BATH N ROOM TRADE CONCERN PVT LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,66225.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2159,RFPO-3550-E6811-1,16 May 2021,PO for Cable Tray Base (c chanel) REMARKS:  Same as previous size,ELECTRIC LIGHT SOLUTION PVT. LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,88617.36,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2160,RFPO-3550-M4002-1,16 May 2021,PO for FETAL DOPPLE MACHINE EDAN MODEL SD3,SAVITRI LIMITED,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1500.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2161,RFPO-3550-V4373-1,10 May 2021,PO for SURGICAL CAUTERY 400 WATTS MFU MODEL ASI-192,Anand Surgical Industries (india),MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1872.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2162,RFPO-3550-V4375A-1,10 May 2021,PO for WAITING CHAIR METAL 3 SEATER - SCWM 201,DELUXE SCIENTIFIC SURGICO PVT LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1584.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2163,RFPO-3734-M4101-1,10 May 2021,PO for HVAC PLATFORMS,Alaina Engineering Services WLL,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,22379.81,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2164,RFPO-3550-V4371A-1,10 May 2021,PO for DUAL POWER SERIES-ELECTRIC CUM  MANUAL SUCTION UNIT,Apothecaries Sundries Manufacturing Co.,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,189.6,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2165,RFPO-3550-V4374A-1,10 May 2021,PO for WHEEL CHAIR,Indian Surgical Company,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1149.6,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2166,RFPO-3550-V4375-1,09 May 2021,PO for 200mm.width * 50mm.depth*2mm.thickness with covers,Baniya Suppliers Pvt. Ltd.,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,2183922.75,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2167,RFPO-3550-V4372-1,09 May 2021,PO for EDAN SDS FETAL DOPPLER MACHINE. AS PER APPROVED PRODUCT SUBMITTAL.,JAYESH VASANT TRADER,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1752.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2168,RFPO-3734-V4276-1,06 May 2021,PO for ALUMINUM FIXED WINDOW,AL IKHTYAAR GERMAN,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,38732.7,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2169,RFPO-3550-V4365A-1,06 May 2021,PO for 3mm Spacer (For Wall Tiles),BATH N ROOM TRADE CONCERN PVT LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,6215.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2170,RFPO-3550-V4370-1,05 May 2021,"PO for SUPPLY, DELIVERY AND INSTALLATION OF WATER FILTER SYSTEM 8000 LPH AND 2000 LPH SOFT NEAR LINER",Vision of Kitchen Links PVT LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,3099000.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2171,RFPO-1569-O21-1,05 May 2021,PO for QNAP TS-231K 2 BAY NAS,Cloud Line Technology L.L.C,MACRO,OFFICE 1803 FURNITURES,Misc.,General,445.76,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2172,RFPO-3550-T1000-1,05 May 2021,PO for INFANT RADIANT WARMER  ICORE 10 B+ AS PER APPROVED SUBMITTAL.,Ibis Medical Equipment and Systems Pvt Ltd,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1265.76,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2173,RFPO-1569-S9002-2,02 May 2021,PO for Al Jadaf Vinyl Sticker (200 cm * 300 cm),ISRA Middle East,MACRO,OFFICE 1803 FURNITURES,Misc.,General,108.92,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2174,RFPO-3734-V4275-1,02 May 2021,PO for CORNER GUARD AS PER APPROVED SUBMITTAL.,NEMER METAL INDUSTRIES FACTORY,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,6647.74,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2175,RFPO-3734-V4351-1,02 May 2021,PO for KITCHEN CABINETS AND DESKS,Hamad Bin Khalid Contracting Company WLL,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,31281.9,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2176,PO-1005-E7030-3,02 May 2021,Witnessing the FAT & do the inspection of transformers (Pad mounted & pole mounted ),INTERTEK GLOBAL LIMITED,MVL ENERGY,General,General,General,1500.0,USD,2021,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2177,RFPO-3742-V4255-2,29 Apr 2021,"DESIGN, SUPPLY, INSTALLATION, COMMISSIONING AND TRAINING OF OPERATORS OF BLAST ROOM, PAINT ROOM & PAINT MIXING ROOM",Prism Tech Engineering LLC,"MVL USA, INC","(KUW-132) ORD-3742 W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility, Camp Arifjan, Kuwait",Subcontract,Services,502341.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2178,RFPO-3550-V4373A-1,29 Apr 2021,PO for 2x1 SQPipe(2.5),SANGACHHE TRADE CONCERN,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,756720.95,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2179,RFPO-2797-A5303-1,28 Apr 2021,"PO for Supply and Apply of Jotun Epoxy  Paints Jotafloor Sealer,Jotafloor  Filler and Jotafgoor Topcoat",AZIZ ULLAH NASARY WARDAK LTD,MACRO,"W5J9JE18C0008 AFGHANISTAN NATIONAL POLICE  (ANP) WOMEN’S PARTICIPATION PROGRAM,  POLICE TOWN PHASE II",Subcontract,Services,61153.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2180,RFPO-1569-S9002-1,26 Apr 2021,PO for Removal of existing signboard and install to other location with new concrete base,ISRA Middle East,MACRO,OFFICE 1803 FURNITURES,Misc.,General,667.13,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2181,RFPO-3550-V4369-1,25 Apr 2021,PO for Table T1,GLOBUS ENTERPRISES QATAR,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,2000885.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2182,RFPO-1569-V4389-1,21 Apr 2021,PO for 700R16 YOKOHAMA JAPAN-21,PRESTO TYRES TRADING LLC-2,MACRO,OFFICE 1803 FURNITURES,Misc.,General,710.7,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2183,RFPO-3550-V4371-1,21 Apr 2021,PO for EARTHPLUS ADVANCED EARTHING ELECTRODE MODEL SMI 350CC,Venus Construction Solutions,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,3183.6,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2184,RFPO-3734-V4274-1,21 Apr 2021,PO for FLEXSEAL PU425,Don Construction Products - Qatar W.L.L,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,6922.44,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2185,RFPO-3550-V4372A-1,21 Apr 2021,PO for EARTHPLUS ADVANCED EARTHING ELECTRODE MODEL SMI 350CC,Venus Construction Solutions,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,4464.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2186,RFPO-3550-V4368-1,18 Apr 2021,PO for TABLE T. SIZE: 1200 X 600 X 450,GLOBUS ENTERPRISES,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,489400.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2187,RFPO-3742-V4258-1,18 Apr 2021,"PO for Bays 1-7, 297.2 sq. meters, EXTECH LIGHTWALL 3100LS Wall System","EXTERIOR TECHNOLOGIES, INC.","MVL USA, INC","(KUW-132) ORD-3742 W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility, Camp Arifjan, Kuwait",Subcontract,Services,236465.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2188,RFPO-3550-V4367-1,15 Apr 2021,PO for SUPPLY OF BED B 2088*1575*325,ABHIYAN HARDWARE CENTRE PVT. LTD.,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,323320.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2189,RFPO-1192-V4428-1,14 Apr 2021,PO for SHARP MX61NT BLACK TONER CART,Printek  SUPPLIES L.L.C,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,503.75,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2190,RFPO-3550-E6810-1,13 Apr 2021,PO for SUPPLY OF FEEDER PANEL,Avone System &amp; Controls (NEPAL) Pvt. Ltd.,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,38000.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2191,RFPO-3550-M4107-1,12 Apr 2021,PO for VARIOUS MEDICAL EQUIPMENT,AARATI MEDITECH,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,2263000.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2192,RFPO-3734-A5202-2,11 Apr 2021,PO for SUPPLY FOR DOOR SETS AS PER APPROVED SUBMITTAL,STEELTECH FOR TRADING AND CONTRACTING,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,90804.01,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2193,RFPO-2797-V4270B-1,08 Apr 2021,PO for H32D2M,KOH BARAKAT LTD,MACRO,"W5J9JE18C0008 AFGHANISTAN NATIONAL POLICE  (ANP) WOMEN’S PARTICIPATION PROGRAM,  POLICE TOWN PHASE II",Subcontract,Services,27376.8,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2194,RFPO-3550-A5303A-1,07 Apr 2021,PO for EMULSION PAINT ON INTERNAL WALL AND CEILING:,SAMITA ENTERPRISES,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,371860.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2195,RFPO-1192-L4001-1,07 Apr 2021,"PO for Tracking Hardware Device (FMM130 – 4G) Installation by our Technicians at the Client’s premise, Software Configurations and Complete Training. (Country of Origin: Europe)",Synosys Technologies LLC,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,389.39,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2196,RFPO-1192-V4314-1,04 Apr 2021,PO for SLAB WITHOUT FACING (SXXX) DENSITY 64 KG M3 THICKNESS 50 MM SIZE 1.2 MTR * 0.6 MTR QUANTITY: 360 SQM,FUJAIRAH ROCKWOOL FACTORY,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,1276.32,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2197,RFPO-1192-V4313-1,04 Apr 2021,PO for SUPPLY OF MAKING SAMPLE BOARDS 6MM THICK WITH HANDLE - 40 X 60 CM,Al Masood Carpentry Workshop,FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,272.3,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2198,RFPO-3550-M4106-1,01 Apr 2021,PO for VARIOUS MEDICAL EQUIPMENT,AARATI MEDITECH,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,1210230.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2199,RFPO-3550-M4000-1,01 Apr 2021,PO for VARIOUS MEDICAL EQUIPMENT,RARUS INTERGLOBAL PVT. LTD,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,824900.0,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2200,RFPO-2797-E6805-1,01 Apr 2021,PO for Cable Color Code: BROWN  Phase:  A Cable Size (mm): 1Cx300 Quoted Wire Type and Size: UL854 USE-2 600Kcmil Brown size(mm2): 304,"QINGDAO CABLE. CO., LTD.",MACRO,"W5J9JE18C0008 AFGHANISTAN NATIONAL POLICE  (ANP) WOMEN’S PARTICIPATION PROGRAM,  POLICE TOWN PHASE II",Subcontract,Services,35248.8,USD,2021,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2201,RFPO-3734-E6800-1,31 Mar 2021,PO for Daltile Kimona Silk TM (PTS) Porcelain Tile  24 inch x 24 inch Panda Black Color P327 - 15.20  SF/Ctn,TIC LIGHT ELECTRICAL CORP,"MVL USA, INC","(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",Subcontract,Services,16548.31,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2202,RFPO-3550-A5202-1,31 Mar 2021,PO for Code JP-209 Conjoined 88 Sliding Frame Length 5.8 Kg/m 1.33 Pcs 684,"Tianjin Development Area Jinpeng Plastics Profile Manufacture Co., Ltd",MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,33539.98,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2203,RFPO-1192-V4312-1,30 Mar 2021,STRUCTURAL AND WEATHERPROOF SEALANT,"SHANDONG FEIDU ADHESIVE TECHNOLOGY SHARES CO.,LTD",FIRESTOP,MVL-FIRE STOP - SUPPLY OF SAFETY MATERIALS FOR FIRE STOP PERSONNEL,Building Materials,Construction,37624.0,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2204,RFPO-2797-V4270-1,29 Mar 2021,PO for H32D2M,KOH BARAKAT LTD,MACRO,"W5J9JE18C0008 AFGHANISTAN NATIONAL POLICE  (ANP) WOMEN’S PARTICIPATION PROGRAM,  POLICE TOWN PHASE II",Subcontract,Services,25510.2,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2205,RFPO-3550-V4366-1,28 Mar 2021,PO for HONGSHI CEMENT OPC,SANGACHHE TRADE CONCERN,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,282198.74,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2206,RFPO-2797-E6804-1,23 Mar 2021,PO for Model: GDZ85-58E,Shanghai Beautiful Cat Environment Science&Technology Co. Ltd.,MACRO,"W5J9JE18C0008 AFGHANISTAN NATIONAL POLICE  (ANP) WOMEN’S PARTICIPATION PROGRAM,  POLICE TOWN PHASE II",Subcontract,Services,8230.0,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2207,RFPO-3550-A5302-1,21 Mar 2021,PO for WATER REPELLANT SILICON BASED COATING ON BRICK SURFACE,SAMITA ENTERPRISES,MVL Nepal,3 Days Rental Of Scorpio Latest Model,Rental,Mechanical,36500.0,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2208,PO-1005-E7029-3,16 Mar 2021,PHILIPS FLOURESCENT BULB 32 W-_F32T8 /TL 735 ALTO,RAD Freight International,MVL ENERGY,General,General,General,3300.0,USD,2021,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
