orderId,mainOrderId,poCount,totalValueUSD,poNumbers
7837,7414,2,1605.44,RFPO-7414-P4800-1; RFPO-7414-P4800-2
7823,7139,2,12440.0,RFPO-7139-M4005-1; RFPO-7139-M4005-2
7766,6705,2,41659.52,RFPO-6705-V40076-1; RFPO-6705-V40076-2
7844,7139,2,7298.11,RFPO-7139-V40022-1; RFPO-7139-V40022-2
7758,6705,2,389515.82,RFPO-6705-E6806-1; RFPO-6705-E6806-2
7680,6705,2,18006.72,RFPO-6705-V40063-1; RFPO-6705-V40063-3
7684,6705,2,442.5,RFPO-6705-V40057A-1; RFPO-6705-V40057A-2
7607,6705,2,36727.9,RFPO-6705-V40048-1; RFPO-6705-V40048-2
7594,7139,2,31018.0,RFPO-7139-V4351-1; RFPO-7139-V4351-2
7538,7139,2,2840.0,RFPO-7139-V40002-1; RFPO-7139-V40002-2
7530,5829,2,1732.5,RFPO-5829-S9103-1; RFPO-5829-S9103-2
7496,1569,2,1497.61,RFPO-1569-V4421-1; RFPO-1569-V4421-2
7380,6705,2,18269.0,RFPO-6705-V40021-1; RFPO-6705-V40021-2
7390,5657,2,47412.0,RFPO-5657-V40016-1; RFPO-5657-V40016-2
7392,6705,2,401945.2,RFPO-6705-M4008A-1; RFPO-6705-M4008A-2
7035,6705,2,55320.0,RFPO-6705-E6800-1; RFPO-6705-E6800-2
7401,7204,2,22465.95,RFPO-7204-E6800-1; RFPO-7204-E6800-2
7262,5532,3,164571.55,RFPO-5532-V40040-1; RFPO-5532-V40040-2; RFPO-5532-V40040-3
7264,5532,3,54850.5,RFPO-5532-V40041-1; RFPO-5532-V40041-2; RFPO-5532-V40041-3
7261,5532,2,558398.0,RFPO-5532-M4024-1; RFPO-5532-M4024-2
7344,6705,2,48633.33,RFPO-6705-V40017-1; RFPO-6705-V40017-2
7141,6746,2,6816.72,RFPO-6746-V40002-1; RFPO-6746-V40002-2
7313,5695,2,11263.0,RFPO-5695-M4103-1; RFPO-5695-M4103-2
7216,5532,3,265815.52,RFPO-5532-V40039-1; RFPO-5532-V40039-2; RFPO-5532-V40039-3
7193,6705,2,24630.79,RFPO-6705-V40007-1; RFPO-6705-V40007-2
7213,4814,2,14295.44,RFPO-4814-A5212-1; RFPO-4814-A5212-2
6618,5829,2,76378.49,RFPO-5829-M4103A-1; RFPO-5829-M4103A-2
7146,6746,2,33344.02,RFPO-6746-E6800-1; RFPO-6746-E6800-2
7082,5193,2,5448.0,RFPO-5193-A5206-1; RFPO-5193-A5206-2
7053,6542,2,86874.0,RFPO-6542-V40001-1; RFPO-6542-V40001-2
7121,5532,2,88100.0,RFPO-5532-V4368-2; RFPO-5532-V4368-3
7111,5829,2,1004.5,RFPO-5829-S9100-1; RFPO-5829-S9100-2
7115,5532,3,646500.0,RFPO-5532-M4021-1; RFPO-5532-M4021-2; RFPO-5532-M4021-3
7058,6542,2,312.5,RFPO-6542-V40002-1; RFPO-6542-V40002-2
6700,1005,3,236500.0,RFPO-1005-V7143-1; RFPO-1005-V7143-2; RFPO-1005-V7143-3
6968,1005,4,7761.6,RFPO-1005-E7091-1; RFPO-1005-E7091-2; RFPO-1005-E7091-3; RFPO-1005-E7091-4
6990,5532,2,1290.96,RFPO-5532-M4015-1; RFPO-5532-M4015-2
6594,5503,2,143158.4,RFPO-5503-V40008A-1; RFPO-5503-V40008A-2
6896,1569,2,2968.01,RFPO-1569-V4413-1; RFPO-1569-V4413-2
6823,5153,3,629317.53,RFPO-5153-C6054-1; RFPO-5153-C6054-2; RFPO-5153-C6054-3
6840,5410,2,11337.14,RFPO-5410-V40002-1; RFPO-5410-V40002-2
6637,1005,2,27572.58,RFPO-1005-V7127-1; RFPO-1005-V7127-2
6748,1005,2,16878.1,RFPO-1005-V7151-1; RFPO-1005-V7151-2
6745,1569,2,23784.88,RFPO-1569-O56-1; RFPO-1569-O56-2
6759,1569,2,2123.89,RFPO-1569-O59-1; RFPO-1569-O59-2
6731,4814,2,2454.9,RFPO-4814-E6802A-1; RFPO-4814-E6802A-2
6643,1005,2,18051.74,RFPO-1005-V7136-1; RFPO-1005-V7136-2
6553,5193,5,38163.3,RFPO-5193-E6801-1; RFPO-5193-E6801-2; RFPO-5193-E6801-3; RFPO-5193-E6801-4; RFPO-5193-E6801-5
6649,1569,2,4642.07,RFPO-1569-O51-1; RFPO-1569-O51-2
6631,1005,2,17059.23,RFPO-1005-E7073-1; RFPO-1005-E7073-2
6397,5193,3,94940.79,RFPO-5193-A5204-1; RFPO-5193-A5204-2; RFPO-5193-A5204-3
6546,5503,2,124304.34,RFPO-5503-M4101-1; RFPO-5503-M4101-2
6597,1428,2,1307.01,RFPO-1428-V4355-1; RFPO-1428-V4355-2
5615,4814,5,628278.82,RFPO-4814-M4105-1; RFPO-4814-M4105-2; RFPO-4814-M4105-3; RFPO-4814-M4105-4; RFPO-4814-M4105-5
6583,5829,2,699795.78,RFPO-5829-M4102-1; RFPO-5829-M4102-2
6565,1005,2,13502.4,RFPO-1005-V7107-1; RFPO-1005-V7107-2
6508,1005,2,632.22,RFPO-1005-M7075-1; RFPO-1005-M7075-2
6480,1005,2,1142.87,RFPO-1005-V7085-1; RFPO-1005-V7085-2
6462,1005,2,9156.77,RFPO-1005-V7078-1; RFPO-1005-V7078-2
6419,1005,2,22982.25,RFPO-1005-V7072-1; RFPO-1005-V7072-2
6364,4814,2,871.34,RFPO-4814-V40004-1; RFPO-4814-V40004-2
6249,1005,2,17539.2,RFPO-1005-M7064-1; RFPO-1005-M7064-2
6189,1005,2,13967.01,RFPO-1005-V7053-1; RFPO-1005-V7053-2
6154,1005,2,2878.4,PO-1005-V7049-1; PO-1005-V7049-2
6040,1005,2,25141.34,RFPO-1005-V7048-1; RFPO-1005-V7048-2
6103,1569,3,2918.99,RFPO-1569-O39-1; RFPO-1569-O39-2; RFPO-1569-O39-3
6057,5193,2,69612.0,RFPO-5193-A5201-1; RFPO-5193-A5201-2
5704,4814,2,171306.31,RFPO-4814-E6800-1; RFPO-4814-E6800-2
5889,1569,3,23907.42,RFPO-1569-S9074-1; RFPO-1569-S9074-2; RFPO-1569-S9074-3
5826,5503,2,4600.98,RFPO-5503-O1-1; RFPO-5503-O1-2
5395,5213,2,592173.33,RFPO-5213-S9082-1; RFPO-5213-S9082-2
5461,3742,4,8059.81,RFPO-3742-V4261-1; RFPO-3742-V4261-2; RFPO-3742-V4261-3; RFPO-3742-V4261-4
4428,3742,3,1553786.56,RFPO-3742-V4255-1; RFPO-3742-V4255-2; RFPO-3742-V4255-3
4961,3734,3,292101.36,RFPO-3734-V4257A-1; RFPO-3734-V4257A-2; RFPO-3734-V4257A-3
5117,3734,2,18186.81,RFPO-3734-V4353-1; RFPO-3734-V4353-2
5255,1192,2,46520.0,RFPO-1192-V4431-1; RFPO-1192-V4431-2
5072,3734,3,115055.36,RFPO-3734-V4351-1; RFPO-3734-V4351-2; RFPO-3734-V4351-3
4024,3742,2,3143000.0,RFPO-3742-V4252-1; RFPO-3742-V4252-2
4597,3742,2,1315162.8,RFPO-3742-V4256A-1; RFPO-3742-V4256A-2
5067,1569,2,776.04,RFPO-1569-S9002-1; RFPO-1569-S9002-2
4694,1005,3,102450.0,PO-1005-E7030-1; PO-1005-E7030-2; PO-1005-E7030-3
4873,3734,2,179134.06,RFPO-3734-A5202-1; RFPO-3734-A5202-2
4335,1005,3,64760.0,PO-1005-E7029-1; PO-1005-E7029-2; PO-1005-E7029-3
4781,3734,2,102780.49,RFPO-3734-V4258-1; RFPO-3734-V4258-2
4690,1005,2,43726.39,PO-1005-E7032-1; PO-1005-E7032-2
4026,1005,2,45432.83,PO-1005-E7019-1; PO-1005-E7019-2
3988,1005,4,19532.34,PO-1005-E7011-2; PO-1005-E7011-3; PO-1005-E7011-4; PO-1005-E7011-5
3759,1005,4,137490.0,PO-1005-E7005-1; PO-1005-E7005-2; PO-1005-E7005-3; PO-1005-E7005-4
3974,1005,2,5924.58,PO-1005-V7004-1; PO-1005-V7004-2
3519,2569,2,11000.0,RFPO-2569-V4252-1; RFPO-2569-V4252-2
3459,1005,2,32554.95,PO-1005-V4466-1; PO-1005-V4466-2
3403,1428,2,49180.2,PO-1428-M4101-1; PO-1428-M4101-2
2834,2532,2,5426.35,RFPO-2532-E6801-1; RFPO-2532-E6801-2
2773,1005,4,8573.91,PO-1005-S9043-1; PO-1005-S9043-2; PO-1005-S9043-3; PO-1005-S9043-4
2652,1005,2,130140.39,RFPO-1005-A5204-1; RFPO-1005-A5204-2
2693,2394,3,1272.98,RFPO-2394-T1000-1; RFPO-2394-T1000-2; RFPO-2394-T1000-3
2514,982,2,139441.8,RFPO-982-A5201-1; RFPO-982-A5201-2
2401,1005,2,33434.1,PO-1005-E6995-1; PO-1005-E6995-2
2410,1005,2,5102.98,PO-1005-E6991-1; PO-1005-E6991-2
2045,1094,4,14502.75,PO-1094-S9089-1; PO-1094-S9089-2; PO-1094-S9089-3; PO-1094-S9089-4
2076,1581,2,100374.44,RFPO-1581-M4101-1; RFPO-1581-M4101-2
1358,982,2,890.11,RFPO-982-S9091-1; RFPO-982-S9091-2
2011,1094,2,4968.59,PO-1094-S9091-1; PO-1094-S9091-2
2012,1094,4,1640.66,PO-1094-S9090-1; PO-1094-S9090-2; PO-1094-S9090-3; PO-1094-S9090-4
1611,1005,4,41090.0,PO-1005-V6971-1; PO-1005-V6971-2; PO-1005-V6971-3; PO-1005-V6971-4
1459,1005,18,181813.49,PO-1005-C6013-1; PO-1005-C6013-2; PO-1005-C6013-3; PO-1005-C6013-4; PO-1005-C6013-5; PO-1005-C6013-6; PO-1005-C6013-7; PO-1005-C6013-8; PO-1005-C6013-9; PO-1005-C6013-10; PO-1005-C6013-11; PO-1005-C6013-12; PO-1005-C6013-13; PO-1005-C6013-14; PO-1005-C6013-16; PO-1005-C6013-17; PO-1005-C6013-18; PO-1005-C6013-19
1680,637,2,2586.6,RFPO-637-V6856-1; RFPO-637-V6856-2
1571,1569,3,106739.28,PO-1569-V4251-1; PO-1569-V4251-2; PO-1569-V4251-3
1653,1005,2,627.54,PO-1005-E6981-1; PO-1005-E6981-2
1599,1005,2,16228.73,PO-1005-M6995-1; PO-1005-M6995-2
1574,637,2,716.0,RFPO-637-A5310-1; RFPO-637-A5310-2
1463,1192,2,87843.16,RFPO-1192-C6051A-1; RFPO-1192-C6051A-2
1427,1192,4,60869.3,PO-1192-C6000-1; PO-1192-C6000-2; PO-1192-C6000-3; PO-1192-C6000-4
1416,0,2,74430.68,PO-1005-E6965-1; PO-1005-E6965-2
1312,637,2,3686.76,RFPO-637-A5305-1; RFPO-637-A5305-2
1170,1005,2,956682.46,PO-1005-V6873-1; PO-1005-V6873-2
1264,781,2,6864.82,RFPO-781-V4252-1; RFPO-781-V4252-2
1161,1005,3,268656.72,PO-1005-V6863-1; PO-1005-V6863-2; PO-1005-V6863-3
1247,1005,4,39419.17,PO-1005-A5306-1; PO-1005-A5306-2; PO-1005-A5306-3; PO-1005-A5306-4
1231,637,2,6015.44,RFPO-637-V4261-1; RFPO-637-V4261-2
1179,637,2,137358.3,RFPO-637-S9101-1; RFPO-637-S9101-2
1141,1005,2,3672.62,PO-1005-M4001-1; PO-1005-M4001-2
1121,1005,3,45037.51,PO-1005-M4102-1; PO-1005-M4102-2; PO-1005-M4102-3
1096,1005,2,19177.5,PO-1005-V6840-1; PO-1005-V6840-2
1081,1005,2,1965.96,PO-1005-T1004-1; PO-1005-T1004-2
1045,982,2,19319779.18,RFPO-982-1590A-1; RFPO-982-1590A-2
945,497,2,5645.6,RFPO-497-1484-1; RFPO-497-1484-2
977,0,3,4042.77,PO-315-1534-1; PO-315-1534-2; PO-315-1534-3
776,637,3,5162395.14,RFPO-637-1260-1; RFPO-637-1260-2; RFPO-637-1260-3
573,0,2,990192.0,SPO-573-1001-1; SPO-573-1001-2
637,0,4,214316.0,SPO-814-1078-2; PO-814-1078-3; SPO-637-1078-4; SPO-637-1078-5
968,0,2,1395.8,PO-315-1518-1; PO-315-1518-2
965,0,2,536.42,PO-315-1515-1; PO-315-1515-2
963,0,2,9708.76,PO-315-1510-1; PO-315-1510-2
931,0,2,672.11,PO-215-1456-1; PO-215-1456-2
594,497,2,1522900.0,RFPO-497-1044-1; RFSPO-497-1044-2
193,158,2,177417.29,PO-613-335-1; PO-613-335-2
18,0,2,2657171.97,ACTIVITIES-2; ACTIVITIES-1
291,0,2,0.0,PO-913-516-1; PO-913-516-2
289,256,2,18774.8,RFPO-1013-544-1; RFPO-1013-544-4
236,0,2,204650.0,PO-913-513-1; PO-713-438-1
245,0,5,99415.48,PO-813-454-2; PO-813-454-3; PO-813-454-4; PO-813-454-5; PO-813-454-6
